description,gold_biosample_identifiers,id,insdc_biosample_identifiers,name,samp_name,lcms_name,submitter_id,lcms_extraction_protocol
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239970'],nmdc:bsm-11-np6zap21,SAMEA7724239,"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.6.SO3.9s",RoyChowdhury45.soil.6.SO3.9s,,qiita_sid_13114:13114.roy.chowdhury.45.s006,
"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean",['gold:Gb0297339'],nmdc:bsm-11-nq0v6195,SAMEA7723485,"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean - 13114.rohwer.85.s011",13114.rohwer.85.s011,2C5_4_7_rohwer-85-s011-a03,qiita_sid_13114:13114.rohwer.85.s011,Bulk_201901_UCSD
"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean",['gold:Gb0297346'],nmdc:bsm-11-nq7pqz46,SAMEA7723492,"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean - 13114.rohwer.85.s021",13114.rohwer.85.s021,2D2_4_33_rohwer-85-s021-a04,qiita_sid_13114:13114.rohwer.85.s021,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316026'],nmdc:bsm-11-nswkrt94,SAMEA7724179,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s086",13114.mousseau.88.s086,,qiita_sid_13114:13114.mousseau.88.s086,Bulk_201901_UCSD
"Fecal microbial communities from raccoon dog in Atlanta Zoo, Georgia, USA",['gold:Gb0315961'],nmdc:bsm-11-nt5fgp68,SAMEA7723976,"Fecal microbial communities from raccoon dog in Atlanta Zoo, Georgia, USA - 13114.song.51.s002",13114.song.51.s002,,qiita_sid_13114:13114.song.51.s002,
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315948'],nmdc:bsm-11-nt5xvy18,SAMEA7723667,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s103",13114.mousseau.88.s103,6C9_5_21_mousseau-88-s103-a02,qiita_sid_13114:13114.mousseau.88.s103,Bulk_201901_UCSD
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239987'],nmdc:bsm-11-ntfcwe63,SAMEA7724255,"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.23.SO4.9",RoyChowdhury45.soil.23.SO4.9,,qiita_sid_13114:13114.roy.chowdhury.45.s023,
"Shipworm gills microbial communities from Puget Sound, Washington, USA",['gold:Gb0315789'],nmdc:bsm-11-ntz0x780,SAMEA7723406,"Shipworm gills microbial communities from Puget Sound, Washington, USA - 13114.distel.72.s001",13114.distel.72.s001,6D12_7_5_distel-72-s001-a04,qiita_sid_13114:13114.distel.72.s001,Bulk_201901_UCSD
"Stream sediment microbial communities from Animas River, San Juan County, Colorado, USA",['gold:Gb0315780'],nmdc:bsm-11-nxasvr27,SAMEA7723914,"Stream sediment microbial communities from Animas River, San Juan County, Colorado, USA - 13114.mayer.34.s008",13114.mayer.34.s008,,qiita_sid_13114:13114.mayer.34.s008,
"Shipworm feces microbial communities from Puget Sound, Washington, USA",['gold:Gb0315787'],nmdc:bsm-11-nzeg8c33,SAMEA7723888,"Shipworm feces microbial communities from Puget Sound, Washington, USA - 13114.distel.72.s010",13114.distel.72.s010,,qiita_sid_13114:13114.distel.72.s010,
"Fecal microbial communities from solomon ssland leaf frog in Atlanta Zoo, Georgia, USA",['gold:Gb0315884'],nmdc:bsm-11-p04bm915,SAMEA7723526,"Fecal microbial communities from solomon ssland leaf frog in Atlanta Zoo, Georgia, USA - 13114.song.52.s013",13114.song.52.s013,7E6_8_46_song-52-s013-a04,qiita_sid_13114:13114.song.52.s013,Swabs_201901_UCSD
"Seawater microbial communities from English Channel, United Kingdom",['gold:Gb0297472'],nmdc:bsm-11-p1t73m37,SAMEA7724350,"Seawater microbial communities from English Channel, United Kingdom - 13114.tait.77.s007",13114.tait.77.s007,,qiita_sid_13114:13114.tait.77.s007,Filter_201901_UCSD
"Terrestrial rangeland soil microbial communities from Oregon, Deschutes County, USA",['gold:Gb0240098'],nmdc:bsm-11-p2gqa640,SAMEA7724219,"Terrestrial rangeland soil microbial communities from Oregon, Deschutes County, USA - Myrold59.soil.13.NRCS0326",,,qiita_sid_13114:13114.myrold.59.s013,
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240026'],nmdc:bsm-11-p2h9n451,SAMEA7724312,"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen36.permafrost.t15.44m",,,qiita_sid_13114:13114.stegen.36.s006,Bulk_Seed_PNNL
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240033'],nmdc:bsm-11-p37dc885,SAMEA7724319,"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen36.permafrost.t15.92m",,,qiita_sid_13114:13114.stegen.36.s013,Bulk_Seed_PNNL
"Sediment microbial communities from Columbia River, Richland, WA, USA",['gold:Gb0315660'],nmdc:bsm-11-p3t7xk30,SAMEA7724324,"Sediment microbial communities from Columbia River, Richland, WA, USA - 13114.stegen.37.s003",13114.stegen.37.s003,,qiita_sid_13114:13114.stegen.37.s003,
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240027'],nmdc:bsm-11-p6a7wn75,SAMEA7724313,"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen36.permafrost.t15.52m",Stegen36.permafrost.t15.52m,,qiita_sid_13114:13114.stegen.36.s007,
"Zompopas fungus garden dump microbial communities from Carara National Park, Costa Rica",['gold:Gb0315680'],nmdc:bsm-11-p9xw9c78,SAMEA7723466,"Zompopas fungus garden dump microbial communities from Carara National Park, Costa Rica - 13114.pinto.63.s013",13114.pinto.63.s013,4C2_3_62_pinto-63-s013-a04,qiita_sid_13114:13114.pinto.63.s013,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315939'],nmdc:bsm-11-pap8v842,SAMEA7723658,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s083",13114.mousseau.88.s083,6C1_5_13_mousseau-88-s083-a02,qiita_sid_13114:13114.mousseau.88.s083,Bulk_201901_UCSD
"Marine sediment microbial communities from North East Pacific Ocean, San Diego, California, USA",['gold:Gb0297369'],nmdc:bsm-11-pb87aa86,SAMEA7723610,"Marine sediment microbial communities from North East Pacific Ocean, San Diego, California, USA - 13114.jensen.43.s011",13114.jensen.43.s011,7F7_8_57_jensen-43-s011-a04,qiita_sid_13114:13114.jensen.43.s011,Swabs_201901_UCSD
"Seawater microbial communities from Scripps Canyon, La Jolla, California, USA",['gold:Gb0297396'],nmdc:bsm-11-pc4p0255,SAMEA7723930,"Seawater microbial communities from Scripps Canyon, La Jolla, California, USA - 13114.palenik.42.s003",13114.palenik.42.s003,,qiita_sid_13114:13114.palenik.42.s003,
"Lichen microbial communities from Michigan, USA",['gold:Gb0315698'],nmdc:bsm-11-pcnc7x94,SAMEA7724050,"Lichen microbial communities from Michigan, USA - 13114.uren.82.s007",13114.uren.82.s007,,qiita_sid_13114:13114.uren.82.s007,
"Terrestrial cropland soil microbial communities from Oregon, Benton County, USA",['gold:Gb0240088'],nmdc:bsm-11-pegs2d53,SAMEA7724209,"Terrestrial cropland soil microbial communities from Oregon, Benton County, USA - Myrold59.soil.3.NRCS0061",Myrold59.soil.3.NRCS0061,,qiita_sid_13114:13114.myrold.59.s003,Bulk_Seed_PNNL
"Sterile water microbial communities from research facility in San Diego, CA, USA",['gold:Gb0315572'],nmdc:bsm-11-ph6y8e10,SAMEA7724363,"Sterile water microbial communities from research facility in San Diego, CA, USA - 13114.BLANK3.3B",13114.BLANK3.3B,,qiita_sid_13114:13114.BLANK3.3B,
"Montane desert soil microbial communities from Mustang Region, Nepal",['gold:Gb0239991'],nmdc:bsm-11-pmbpyr59,SAMEA7724259,"Montane desert soil microbial communities from Mustang Region, Nepal - Schmidt56.soil.Nepal.3",,,qiita_sid_13114:13114.schmidt.56.s003,Bulk_Seed_PNNL
"Sludge microbial communities from Ithaca, New York, USA",['gold:Gb0315435'],nmdc:bsm-11-pnk53a41,SAMEA7723389,"Sludge microbial communities from Ithaca, New York, USA - 13114.angenent.65.s002",13114.angenent.65.s002,5A3_2_9_angenent-65-s002-a04,qiita_sid_13114:13114.angenent.65.s002,Bulk_201901_UCSD
"Fecal microbial communities from fin whale in Massachusetts, USA",['gold:Gb0315955'],nmdc:bsm-11-prtvqf07,SAMEA7723890,"Fecal microbial communities from fin whale in Massachusetts, USA - 13114.girguis.50.s003",13114.girguis.50.s003,,qiita_sid_13114:13114.girguis.50.s003,
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316027'],nmdc:bsm-11-pt8nke67,SAMEA7724180,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s090",13114.mousseau.88.s090,,qiita_sid_13114:13114.mousseau.88.s090,Bulk_201901_UCSD
"Lake sediment microbial communities from Lubbock County, Texas, USA",['gold:Gb0315754'],nmdc:bsm-11-ptk2m290,SAMEA7723439,"Lake sediment microbial communities from Lubbock County, Texas, USA - 13114.mayer.33.s007",13114.mayer.33.s007,1H7_3_21_mayer-33-s007-a04,qiita_sid_13114:13114.mayer.33.s007,Bulk_201901_UCSD
"Fish gut microbial communities from Scripps Coastal Reserve, CA, USA",['gold:Gb0315649'],nmdc:bsm-11-pvh31c44,SAMEA7723504,"Fish gut microbial communities from Scripps Coastal Reserve, CA, USA - 13114.sandin.54.s010",13114.sandin.54.s010,5B6_3_4_sandin-54-s010-a04,qiita_sid_13114:13114.sandin.54.s010,Bulk_201901_UCSD
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297442'],nmdc:bsm-11-px8aje48,SAMEA7724019,"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s004",13114.thomas.19.s004,,qiita_sid_13114:13114.thomas.19.s004,
"Fecal microbial communities from southern three-banded armadillo in National Zoo, Maryland, USA",['gold:Gb0315965'],nmdc:bsm-11-pzyg0w71,SAMEA7723980,"Fecal microbial communities from southern three-banded armadillo in National Zoo, Maryland, USA - 13114.song.51.s011",13114.song.51.s011,,qiita_sid_13114:13114.song.51.s011,
"Sediment microbial communities from Columbia River, Richland, WA, USA",['gold:Gb0315666'],nmdc:bsm-11-q3409f71,SAMEA7724330,"Sediment microbial communities from Columbia River, Richland, WA, USA - 13114.stegen.37.s009",13114.stegen.37.s009,,qiita_sid_13114:13114.stegen.37.s009,
"Activated sludge microbial communities from Salt Lake City, Utah, USA",['gold:Gb0315427'],nmdc:bsm-11-q359a362,SAMEA7724130,"Activated sludge microbial communities from Salt Lake City, Utah, USA - 13114.mcmahon.21.s005",13114.mcmahon.21.s005,,qiita_sid_13114:13114.mcmahon.21.s005,
"Seawater microbial communities from North East Pacific Ocean, California, USA",['gold:Gb0297404'],nmdc:bsm-11-q3epjb75,SAMEA7723938,"Seawater microbial communities from North East Pacific Ocean, California, USA - 13114.palenik.42.s013",13114.palenik.42.s013,,qiita_sid_13114:13114.palenik.42.s013,
"Lake sediment microbial communities from Norfolk County, Massachusetts, USA",['gold:Gb0315759'],nmdc:bsm-11-q3xxkf31,SAMEA7723600,"Lake sediment microbial communities from Norfolk County, Massachusetts, USA - 13114.berry.2.s013",13114.berry.2.s013,1A7_1_9_berry-2-s013-a04,qiita_sid_13114:13114.berry.2.s013,Bulk_201901_UCSD
"Fecal microbial communities from pig in Zomba, Malawi",['gold:Gb0315869'],nmdc:bsm-11-q4ehgd83,SAMEA7723459,"Fecal microbial communities from pig in Zomba, Malawi - 13114.minich.76.s005",13114.minich.76.s005,5B4_2_78_minich-76-s005-a04,qiita_sid_13114:13114.minich.76.s005,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316018'],nmdc:bsm-11-q56mee15,SAMEA7724171,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s072",13114.mousseau.88.s072,,qiita_sid_13114:13114.mousseau.88.s072,
"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean",['gold:Gb0297347'],nmdc:bsm-11-q58wrs65,SAMEA7723493,"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean - 13114.rohwer.85.s023",13114.rohwer.85.s023,2C2_4_2_rohwer-85-s023-a04,qiita_sid_13114:13114.rohwer.85.s023,Bulk_201901_UCSD
"Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA",['gold:Gb0239927'],nmdc:bsm-11-q72ew015,SAMEA7724306,"Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen20.12102015",,,qiita_sid_13114:13114.shade.23.s010,Bulk_Seed_PNNL
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315918'],nmdc:bsm-11-q7pnzt80,SAMEA7723637,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s043",13114.mousseau.88.s043,5G8_4_50_mousseau-88-s043-a02,qiita_sid_13114:13114.mousseau.88.s043,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315906'],nmdc:bsm-11-qe7jxj40,SAMEA7723625,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s017",13114.mousseau.88.s017,5D12_4_5_mousseau-88-s017-a02,qiita_sid_13114:13114.mousseau.88.s017,Bulk_201901_UCSD
"Temperate coniferous forest soil microbial communities from Oregon, Tillamook County, USA",['gold:Gb0240070'],nmdc:bsm-11-qeawpe42,SAMEA7724197,"Temperate coniferous forest soil microbial communities from Oregon, Tillamook County, USA - Myrold5.soil.3.CHDF3",Myrold5.soil.3.CHDF3,,qiita_sid_13114:13114.myrold.5.s003,
"Seawater microbial communities from English Channel, United Kingdom",['gold:Gb0297473'],nmdc:bsm-11-qef6qx49,SAMEA7724351,"Seawater microbial communities from English Channel, United Kingdom - 13114.tait.77.s008",13114.tait.77.s008,,qiita_sid_13114:13114.tait.77.s008,Filter_201901_UCSD
"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean",['gold:Gb0297349'],nmdc:bsm-11-qg1nxe79,SAMEA7723495,"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean - 13114.rohwer.85.s027",13114.rohwer.85.s027,2C9_4_13_rohwer-85-s027-a03,qiita_sid_13114:13114.rohwer.85.s027,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315994'],nmdc:bsm-11-qhq3xz40,SAMEA7724147,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s021",13114.mousseau.88.s021,,qiita_sid_13114:13114.mousseau.88.s021,Bulk_201901_UCSD
"Sludge microbial communities from Ithaca, New York, USA",['gold:Gb0315434'],nmdc:bsm-11-qmwnwj94,SAMEA7723388,"Sludge microbial communities from Ithaca, New York, USA - 13114.angenent.65.s001",13114.angenent.65.s001,5A1_2_2_angenent-65-s001-a04,qiita_sid_13114:13114.angenent.65.s001,Bulk_201901_UCSD
"Activated sludge microbial communities from Madison, Wisconsin, USA",['gold:Gb0315418'],nmdc:bsm-11-qn97py15,SAMEA7723444,"Activated sludge microbial communities from Madison, Wisconsin, USA - 13114.mcmahon.21.s010",13114.mcmahon.21.s010,3A1_3_34_mcmahon-21-s010-a03,qiita_sid_13114:13114.mcmahon.21.s010,Bulk_201901_UCSD
"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean",['gold:Gb0297340'],nmdc:bsm-11-qnrzrj79,SAMEA7723486,"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean - 13114.rohwer.85.s013",13114.rohwer.85.s013,2D7_4_62_rohwer-85-s013-a03,qiita_sid_13114:13114.rohwer.85.s013,Bulk_201901_UCSD
"Lake sediment microbial communities from Norfolk County, Massachusetts, USA",['gold:Gb0315761'],nmdc:bsm-11-qp9m2b62,SAMEA7723602,"Lake sediment microbial communities from Norfolk County, Massachusetts, USA - 13114.berry.2.s016",13114.berry.2.s016,1A4_1_5_berry-2-s016-a04,qiita_sid_13114:13114.berry.2.s016,Bulk_201901_UCSD
"Lake sediment microbial communities from Town of Ludlow, Massachusetts, USA",['gold:Gb0315746'],nmdc:bsm-11-qtg27412,SAMEA7723393,"Lake sediment microbial communities from Town of Ludlow, Massachusetts, USA - 13114.berry.2.s007",13114.berry.2.s007,1B6_1_27_berry-2-s007-a04,qiita_sid_13114:13114.berry.2.s007,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315904'],nmdc:bsm-11-qvkczc88,SAMEA7723623,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s011",13114.mousseau.88.s011,5E6_4_18_mousseau-88-s011-a02,qiita_sid_13114:13114.mousseau.88.s011,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316024'],nmdc:bsm-11-qwgtks14,SAMEA7724177,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s080",13114.mousseau.88.s080,,qiita_sid_13114:13114.mousseau.88.s080,Bulk_201901_UCSD
"Seawater microbial communities from North Pacific Ocean, Mexico",['gold:Gb0297434'],nmdc:bsm-11-qxxjae78,SAMEA7724002,"Seawater microbial communities from North Pacific Ocean, Mexico - 13114.stewart.26.s005",13114.stewart.26.s005,,qiita_sid_13114:13114.stewart.26.s005,
"Temperate coniferous forest soil microbial communities from Oregon, Lincoln County, USA",['gold:Gb0240057'],nmdc:bsm-11-qy6zc539,SAMEA7724225,"Temperate coniferous forest soil microbial communities from Oregon, Lincoln County, USA - Myrold59.soil.19.NRCS0436",Myrold59.soil.19.NRCS0436,,qiita_sid_13114:13114.myrold.59.s019,
"Temperate grassland soil microbial communities from Colorado, Boulder, USA",['gold:Gb0240080'],nmdc:bsm-11-qyytgb94,SAMEA7723448,"Temperate grassland soil microbial communities from Colorado, Boulder, USA - Metcalf40.10141.G.CTRL.soil.T0.1",Metcalf40.10141.G.CTRL.soil.T0.1,1C1_1_34_metcalf-40-s009-a03,qiita_sid_13114:13114.metcalf.40.s009,Bulk_201901_UCSD
"Marine sediment microbial communities from Caribbean Sea, Belize",['gold:Gb0297323'],nmdc:bsm-11-r0h58d28,SAMEA7723420,"Marine sediment microbial communities from Caribbean Sea, Belize - 13114.jensen.43.s006",13114.jensen.43.s006,1H4_3_16_jensen-43-s006-a04,qiita_sid_13114:13114.jensen.43.s006,Bulk_201901_UCSD
"Fecal microbial communities from rhea in National Zoo, Maryland, USA",['gold:Gb0315979'],nmdc:bsm-11-r0yk4534,SAMEA7723994,"Fecal microbial communities from rhea in National Zoo, Maryland, USA - 13114.song.53.s008",13114.song.53.s008,,qiita_sid_13114:13114.song.53.s008,
"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia",['gold:Gb0315848'],nmdc:bsm-11-r1qsre17,SAMEA7724009,"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia - 13114.thomas.18.s006",13114.thomas.18.s006,,qiita_sid_13114:13114.thomas.18.s006,
"Activated sludge microbial communities from Salt Lake City, Utah, USA",['gold:Gb0315426'],nmdc:bsm-11-r3745c81,SAMEA7724129,"Activated sludge microbial communities from Salt Lake City, Utah, USA - 13114.mcmahon.21.s004",13114.mcmahon.21.s004,,qiita_sid_13114:13114.mcmahon.21.s004,
"Red algae microbial communities from Northern Line Islands, Palmyra Atoll, Republic of Kiribati",['gold:Gb0297353'],nmdc:bsm-11-r4ckxx10,SAMEA7723511,"Red algae microbial communities from Northern Line Islands, Palmyra Atoll, Republic of Kiribati - 13114.smith.39.s007",13114.smith.39.s007,,qiita_sid_13114:13114.smith.39.s007,
"Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA",['gold:Gb0239922'],nmdc:bsm-11-r4pd6g83,SAMEA7724301,"Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen14.12102015",,,qiita_sid_13114:13114.shade.23.s005,Bulk_Seed_PNNL
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240116'],nmdc:bsm-11-r51nvg81,SAMEA7724103,"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Edge.1.3.8.10",King27.Edge.1.3.8.10,,qiita_sid_13114:13114.king.27.s006,Bulk_201901_UCSD
"Activated sludge microbial communities from Salt Lake City, Utah, USA",['gold:Gb0315419'],nmdc:bsm-11-r5s7x979,SAMEA7723916,"Activated sludge microbial communities from Salt Lake City, Utah, USA - 13114.mcmahon.21.s001",13114.mcmahon.21.s001,,qiita_sid_13114:13114.mcmahon.21.s001,
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315834'],nmdc:bsm-11-r5w3w818,SAMEA7723722,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s044",13114.thomas.18.s044,4C11_1_14_thomas-18-s044-a03,qiita_sid_13114:13114.thomas.18.s044,Bulk_201901_UCSD
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240042'],nmdc:bsm-11-r6r22s63,SAMEA7724338,"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen38.activelayer.soil.T5.60m",,,qiita_sid_13114:13114.stegen.38.s007,
Desert gravel field soil microbial communities from Namibia,['gold:Gb0239946'],nmdc:bsm-11-r7vc3h67,SAMEA7724124,Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP11,Makhalanyane46.TGP11,,qiita_sid_13114:13114.makhalanyane.46.s006,Bulk_Seed_PNNL
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315946'],nmdc:bsm-11-rdb1e842,SAMEA7723665,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s095",13114.mousseau.88.s095,6D10_5_37_mousseau-88-s095-a02,qiita_sid_13114:13114.mousseau.88.s095,Bulk_201901_UCSD
"Marine sediment microbial communities from Scripps Canyon, La Jolla, California, USA",['gold:Gb0297394'],nmdc:bsm-11-rdrbna95,SAMEA7723900,"Marine sediment microbial communities from Scripps Canyon, La Jolla, California, USA - 13114.jensen.43.s019",13114.jensen.43.s019,,qiita_sid_13114:13114.jensen.43.s019,
"Brood combs microbial communities from stingless bee nest in Puerto Viejo, Costa Rica",['gold:Gb0315443'],nmdc:bsm-11-rekjvr92,SAMEA7723470,"Brood combs microbial communities from stingless bee nest in Puerto Viejo, Costa Rica - 13114.pinto.63.s020",13114.pinto.63.s020,4A9_2_42_pinto-63-s020-a04,qiita_sid_13114:13114.pinto.63.s020,Bulk_201901_UCSD
"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean",['gold:Gb0297333'],nmdc:bsm-11-rfj9pv09,SAMEA7723479,"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean - 13114.rohwer.85.s002",13114.rohwer.85.s002,1F12_2_67_rohwer-85-s002-a04,qiita_sid_13114:13114.rohwer.85.s002,Bulk_201901_UCSD
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315845'],nmdc:bsm-11-rgnjx820,SAMEA7723733,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s056",13114.thomas.18.s056,4D3_1_19_thomas-18-s056-a03,qiita_sid_13114:13114.thomas.18.s056,Bulk_201901_UCSD
"Brood combs microbial communities from stingless bee nest in Puerto Viejo, Costa Rica",['gold:Gb0315444'],nmdc:bsm-11-rhmm8j58,SAMEA7723473,"Brood combs microbial communities from stingless bee nest in Puerto Viejo, Costa Rica - 13114.pinto.63.s023",13114.pinto.63.s023,4A2_2_6_pinto-63-s023-a04,qiita_sid_13114:13114.pinto.63.s023,Bulk_201901_UCSD
"Fecal microbial communities from southern african bush elephant in Atlanta Zoo, Georgia, USA",['gold:Gb0315952'],nmdc:bsm-11-rhtezv89,SAMEA7723683,"Fecal microbial communities from southern african bush elephant in Atlanta Zoo, Georgia, USA - 13114.song.51.s018",13114.song.51.s018,7D7_8_37_song-51-s018-a04,qiita_sid_13114:13114.song.51.s018,Swabs_201901_UCSD
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297448'],nmdc:bsm-11-rkj7mr74,SAMEA7724030,"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s015",13114.thomas.19.s015,,qiita_sid_13114:13114.thomas.19.s015,
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315805'],nmdc:bsm-11-rm9zrp57,SAMEA7723693,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s010",13114.thomas.18.s010,3H9_7_59_thomas-18-s010-a03,qiita_sid_13114:13114.thomas.18.s010,Bulk_201901_UCSD
"Marine sediment microbial communities from Coahuila, Cuatro Cienegas Basin, Mexico",['gold:Gb0297426'],nmdc:bsm-11-rmae3e55,SAMEA7723966,"Marine sediment microbial communities from Coahuila, Cuatro Cienegas Basin, Mexico - 13114.rohwer.86.s002",13114.rohwer.86.s002,,qiita_sid_13114:13114.rohwer.86.s002,
"Lichen microbial communities from Michigan, USA",['gold:Gb0315694'],nmdc:bsm-11-rmemv529,SAMEA7723741,"Lichen microbial communities from Michigan, USA - 13114.uren.82.s012",13114.uren.82.s012,3F11_2_47_uren-82-s012-a04,qiita_sid_13114:13114.uren.82.s012,Filter_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316025'],nmdc:bsm-11-rn8q1c27,SAMEA7724178,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s084",13114.mousseau.88.s084,,qiita_sid_13114:13114.mousseau.88.s084,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315937'],nmdc:bsm-11-rqq6h212,SAMEA7723656,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s081",13114.mousseau.88.s081,6A6_4_72_mousseau-88-s081-a02,qiita_sid_13114:13114.mousseau.88.s081,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315951'],nmdc:bsm-11-rtd0qz18,SAMEA7723670,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s108",13114.mousseau.88.s108,6D8_5_35_mousseau-88-s108-a02,qiita_sid_13114:13114.mousseau.88.s108,Bulk_201901_UCSD
"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean",['gold:Gb0297418'],nmdc:bsm-11-rvhzjt54,SAMEA7723958,"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean - 13114.rohwer.85.s003",13114.rohwer.85.s003,,qiita_sid_13114:13114.rohwer.85.s003,
